fund_url,fund_name,applicant_types,geographic_scope,beneficiary_focus,funding_range,restrictions,application_status,deadline,notes,eligibility,evidence,pages_scraped,visited_urls_count,extraction_timestamp,error
https://www.truecolourstrust.org.uk,www.truecolourstrust.org.uk,UK registered charitable organisations; CICs,UK,disabled children and young people; children and young people with life-limiting conditions; families,"up to £10,000",Organisations which have received a small grant from us within the last 12 months; Local authorities; Residential schemes; Schools; Condition-specific organisations; Organisations seeking funding for wish-granting activities or regranting; Organisations which are registered outside the UK; Projects taking place outside the UK; Newly registered organisations which do not yet have a full year of accounts; Individuals,open,,"Organisations whose annual income is less than £350,000; must wait at least a year after project completion before reapplying if successful.",Highly Eligible,"[Score: 100] ✓ Registered charities eligible | ✓ UK/England-wide funding (includes Kent) | ✓ Beneficiary alignment: palliative/end-of-life care (life-limiting); age groups: children, young people, families | ✓ Funding size appropriate: up to £10,000 | ✓ Applications open | ⚠ Restrictions apply: organisations which have received a small grant from us within the last 12 months; local authorities...",15.0,15.0,2025-10-13 13:48:42,
https://www.lloydsbankfoundation.org.uk,www.lloydsbankfoundation.org.uk,small charities; community interest companies (CICs); charities; CIOs,England and Wales,people facing complex issues; refugees and asylum seekers; people experiencing inequity because of their race or ethnicity; Deaf and Disabled people experiencing poverty,"£30,000 - £150,000; £75,000; £100,000",must have a safeguarding policy in place for applications supporting front-line services to children and/or adults,closed,,Organisations must demonstrate commitment to addressing safeguarding risks.,Low Match,"[Score: 10] ✓ Registered charities eligible | ✓ UK/England-wide funding (includes Kent) | ✓ Funding size appropriate: £30,000 - £150,000; £75,000; £100,000 | ⚠ Beneficiary focus unclear: people facing complex issues; refugees and asylum seekers; people experiencing inequity because of t | ✗ Applications CLOSED | ⚠ Restrictions apply: must have a safeguarding policy in place for applications supporting front-line services to children...",15.0,15.0,2025-10-13 13:50:39,
https://vivensafoundation.org.uk,vivensafoundation.org.uk,members of the Vivensa Academy; community organisations working with older people,UK,older people; underrepresented or underserved groups,"Excellence Awards: £40,000 per year for three years; Ignition Fund: up to £5,000; Public, Patient and Community Involvement and Engagement Awards: £500; Conference Awards: up to £1,000 for UK conferences, up to £3,000 for international conferences; Discipline Hopping Awards: up to £5,000 for PhD researchers, £10,000 for Post doctoral researchers",only one application for an Ignition Fund award can be made per financial year; previous winners are not eligible to hold multiple awards concurrently,open,5pm on 31st October 2025,Applicants must not have access to funding for engagement or inclusion through other grants or fellowships,Low Match,"[Score: 25] ✓ UK/England-wide funding (includes Kent) | ✓ Applications open | ⏰ Deadline: 5pm on 31st October 2025 | ⚠ Applicant type unclear - may need verification | ⚠ Beneficiary focus unclear: older people; underrepresented or underserved groups | ⚠ Large grants only (£500k+) - may be competitive: excellence awards: £40,000 per year for three years; ignition fund: up to £5,000; public, patient and community involvement and engagement awards: £500; conference awards: up to £1,000 for uk conferences, up to £3,000 for international conferences; discipline hopping awards: up to £5,000 for phd researchers, £10,000 for post doctoral researchers | ⚠ Restrictions apply: only one application for an ignition fund award can be made per financial year; previous winners are...",13.0,15.0,2025-10-13 13:57:00,
https://www.cafonline.org,www.cafonline.org,,,,,,,,,,,,,2025-10-13 14:00:24,Insufficient text extracted
https://www.sfct.org.uk,www.sfct.org.uk,,,,"Scholarships of up to £2,000 per student, per annum and Awards of £500 per student, per annum",We do not fund or sponsor individuals or events; Unsolicited applications are unlikely to be successful; Applications for funding are generally invited by the Trustees or initiated at their request,closed,,Applicants must be Croatian students wishing to pursue higher education; Priority is given to postgraduate students; undergraduate students are unlikely to be considered for an award,Not Eligible,[Score: -50] ✗ Applications CLOSED | ⚠ Restrictions apply: we do not fund or sponsor individuals or events; unsolicited applications are unlikely to be success...,15.0,15.0,2025-10-13 14:00:55,
http://www.mccarthystonefoundation.org,www.mccarthystonefoundation.org,registered charities; community groups; Community Interest Companies,"England, Scotland, Wales",people over 65; dementia clubs; memory cafes,"Festive Connections Grants: up to £750; Creating Connections Grants: up to £7,500; Core Cost Funding: up to £7,500; Dementia Grant Programme: up to £7,500",Dementia-specific charities and groups are not eligible for Creating Connections Grant,open,3rd October 2025,"Annual income under £250,000 p.a. required for applicants",Possibly Eligible,[Score: 45] ✓ Registered charities eligible | ✓ UK/England-wide funding (includes Kent) | ✓ Applications open | ⏰ Deadline: 3rd October 2025 | ⚠ Beneficiary focus unclear: people over 65; dementia clubs; memory cafes | ⚠ Restrictions apply: dementia-specific charities and groups are not eligible for creating connections grant...,15.0,15.0,2025-10-13 14:03:08,
https://www.fortecharitablefoundation.org.uk,www.fortecharitablefoundation.org.uk,charitable organisations; social enterprises; not-for-profit registered companies; voluntary organisations,UK,local communities in areas of extreme deprivation; families coping with addiction; prisoners' families; young people,"Small Grants: £2,000 - £10,000; Major Grants: £10,000 - £50,000 for a single year; Multi-year grants: £10,000 - £100,000 over 3 years","organisations whose postcode is not within the IMD deprivation limits; newly established organisations with no previous annual accounts; individuals; charities or NGOs registered outside the UK; Community Interest Companies (CICs); statutory services including state schools, local or national authorities, prisons, NHS hospitals or services; universities, further education colleges and independent schools; organisations with an annual income over £500,000; hospices; organisations with primarily an environmental aim; grant making organisations or umbrella organisations; organisations that have applied to us unsuccessfully within the previous 12 months; organisations which have made their annual returns to the Charity Commission or Companies House late within the past three years; organisations which have not reviewed their safeguarding policy and/or held formal safeguarding training/refresher sessions within the past 12 months",rolling,,You can only apply for one grant at a time; successful applicants can re-apply for a further two years; no further applications can be made after the completion of the third grant.,Eligible,"[Score: 50] ✓ Registered charities eligible | ✓ UK/England-wide funding (includes Kent) | ✓ Beneficiary alignment: age groups: young people, families | ✓ Funding size appropriate: small grants: £2,000 - £10,000; major grants: £10,000 - £50,000 for a single year; multi-year grants: £10,000 - £100,000 over 3 years | ✓ Applications rolling | ✗✗ CRITICAL: Core activities may be excluded - hospice, hospices",15.0,15.0,2025-10-13 14:05:35,
https://theunderwoodtrust.org.uk/,theunderwoodtrust.org.uk,UK registered charities; official charitable organisations,UK,,"Grants awarded in 2024/25 £25,000 - £315,000","Individuals; Political activities; Commercial ventures or publications; The purchase of vehicles including mini-buses; Overseas travel, holidays and expeditions",closed,,Applications only accepted if invited,Not Eligible,[Score: -5] ✓ Registered charities eligible | ✓ UK/England-wide funding (includes Kent) | ✗ Applications CLOSED | ⚠ Restrictions apply: individuals; political activities; commercial ventures or publications; the purchase of vehicles inc...,4,4,2025-10-14 14:13:07,
https://vinehilltrust.uk/,vinehilltrust.uk,UK-registered charities; non-profits; CICs,United Kingdom,children; young people; individuals with limited access to essential healthcare; patients with rare or under-recognised conditions; children and elderly with mobility limitations; underserved and rural communities,"£10,000-£100,000",outside our three funding areas; for retrospective funding for capital appeals; for campaigning and lobbying work where there is a reasonable expectation of public funding; where beneficiaries are selected by race or ethnicity without an evidenced rationale; for endowments from organisations with more than twelve months of unrestricted reserves; for more than 75% of the project cost from individuals from statutory bodies unless in partnership with a charitable body; for other organisations’ grant programmes; from organisations based outside the UK; from organisations which have applied and been rejected within the last twelve months,open,18 July,Projects must start within twelve months of receipt of funding; a clear budget and delivery plan must be submitted.,Highly Eligible,"[Score: 70] ✓ Registered charities eligible | ✓ UK/England-wide funding (includes Kent) | ✓ Beneficiary alignment: age groups: children, young people; services: care | ✓ Funding size appropriate: £10,000-£100,000 | ✓ Applications open | ⏰ Deadline: 18 July | ✗ Charities may be excluded - review carefully",7,7,2025-10-14 14:13:32,
https://www.vodafone.com/vodafone-foundation,www.vodafone.com,public sector services; small and medium-sized enterprises; charities; NGOs,Europe and Africa,women; students; jobseekers; communities in need,"£9m+ raised by Vodafone employees; £400,000 for Vodafone Foundation’s Your Planet campaign; £43.5m for over 25,000 charities",must have the correct right to work documentation; not accepting Graduate Route Visa,open,30th November 2025,A 2.2 in any degree is required; related degrees are a bonus; recently graduated between June 2024 and August 2026,Not Eligible,[Score: 5] ✓ Registered charities eligible | ✓ Applications open | ⏰ Deadline: 30th November 2025 | ✗ Geographic mismatch: europe and africa | ⚠ Beneficiary focus unclear: women; students; jobseekers; communities in need | ⚠ Restrictions apply: must have the correct right to work documentation; not accepting graduate route visa...,15,15,2025-10-14 14:14:09,
https://www.vonopel-foundation.ch/,www.vonopel-foundation.ch,,developing world,children; young people; the poor; the vulnerable,,,open,,"Projects must aim to improve access to education, healthcare, and sustainable development.",Low Match,"[Score: 15] ✓ Beneficiary alignment: age groups: children, young people; services: care | ✓ Applications open | ✗ Geographic mismatch: developing world",7,7,2025-10-14 15:21:26,
https://savitri.org.uk/,savitri.org.uk,charities; non-profit organizations,"India, UK",communities in rural India; vulnerable communities worldwide,"£1,000 - £14 million",funding by invitation only; must align with mission,open,,"Focus on community health, environmental health, and emergency relief grants",Eligible,"[Score: 60] ✓ Registered charities eligible | ✓ UK/England-wide funding (includes Kent) | ✓ Beneficiary alignment: general health/care | ✓ Applications open | ⚠ Large grants only (£500k+) - may be competitive: £1,000 - £14 million | ⚠ Restrictions apply: funding by invitation only; must align with mission...",15,15,2025-10-14 15:21:56,
https://www.wfct.org/,www.wfct.org,UK based organisations; British registered charity,UK,cultural institutions; people with disabilities; UK Jewish community; older people; education; culture and heritage,"£10,000 – £50,000","The purchase of land or existing buildings; Grants direct to individuals; Grants through conduit organisations; Overheads, maintenance costs and VAT; Non-specific appeals and endowment funds; Costs of meetings, exhibitions, concerts, expeditions, conferences; Film or promotional materials; Repayment of loans; Projects that have already been completed or will be by the time of award",closed,"1 June 2025, 23.59","Organisations should have charitable status, generally have an annual income of above £50,000, and show evidence of long-term financial viability.",Low Match,"[Score: 10] ✓ Registered charities eligible | ✓ UK/England-wide funding (includes Kent) | ✓ Funding size appropriate: £10,000 – £50,000 | ⚠ Beneficiary focus unclear: cultural institutions; people with disabilities; uk jewish community; older people; education; cultu | ✗ Applications CLOSED | ⚠ Restrictions apply: the purchase of land or existing buildings; grants direct to individuals; grants through conduit org...",15,15,2025-10-14 15:24:31,
https://lordandladywolfson.org.uk/,lordandladywolfson.org.uk,UK universities,UK,preventative medicine; wellbeing; health research,,,closed,2025/2026,The Foundation is focusing on preventative healthcare and related initiatives.,Not Eligible,[Score: -15] ✓ UK/England-wide funding (includes Kent) | ✓ Beneficiary alignment: services: care | ⚠ Applicant type unclear - may need verification | ✗ Applications CLOSED,15,15,2025-10-14 15:38:32,
