All Grants,Earliest Award,Grants,Grants To Individuals,Grants To Organisations,Largest Amount,Largest Amount  (USD),Latest Award,Smallest Amount,Smallest Amount  (USD),Total Amount,Total Amount (USD),additional_active,additional_charitynumber,additional_companynumber,additional_dateregistered,additional_dateremoved,additional_last_modified,additional_latestincome,additional_latestincomedate,additional_linked_orgs,additional_linked_orgs_verified,additional_name,additional_organisationtype,additional_organisationtypeprimary,additional_orgids,additional_postalcode,additional_source,appears_as,name,org_ids,fund_url,organisationtypeprimary,other_names
,03-Nov-21,,,491,"£206,456",,25-Nov-24,£610,,"£9,574,765",,TRUE,SC045504,,19/03/2015,,2025-11-27 20:00:53.288189+00:00,11574150,31/12/2024,"GB-SC-SC045504, GB-COH-SC503019",GB-SC-SC045504,Postcode Local Trust,"registered-charity, registered-charity-scotland, registered-company, incorporated-charity",Registered Charity,GB-SC-SC045504,EH2 4ET,oscr,Funder,Postcode Local Trust,Org IDsGB-SC-SC045504,http://www.postcodelocaltrust.org.uk,Registered Charity,
,17-May-17,,,41,"£10,000,000",,04-Jun-25,£500,,"£15,447,151",,TRUE,1175593,11048746,07/11/2017,,2025-12-01 01:08:12.011534+00:00,4285746,31/03/2024,"GB-CHC-1175593, GB-COH-11048746, GB-CHC-1088699","GB-CHC-1175593, GB-COH-11048746",The Goldsmiths' Foundation,"registered-charity, registered-charity-england-and-wales, registered-company, incorporated-charity",Registered Charity,"GB-CHC-1175593, GB-COH-11048746",EC2V 6BN,ccew,"Funder, Publisher",The Goldsmiths' Foundation,"Org IDsGB-CHC-1175593, GB-COH-11048746",https://www.thegoldsmiths.co.uk/charities,Registered Charity,
,03-Apr-13,,,"3,674","£1,200,000",,31-Mar-22,£200,,"£168,827,927",,TRUE,1105580,5196041,20/08/2004,,2025-12-01 01:08:12.011534+00:00,8543000,31/03/2025,"GB-CHC-1105580, GB-COH-05196041","GB-CHC-1105580, GB-COH-05196041",THE TUDOR TRUST,"registered-charity, registered-charity-england-and-wales, registered-company, incorporated-charity",Registered Charity,"GB-CHC-1105580, GB-COH-05196041",W11 3BD,ccew,"Funder, Publisher",The Tudor Trust,"Org IDsGB-CHC-1105580, GB-COH-05196041",https://www.tudortrust.org.uk,Registered Charity,Other Names used in the dataTHE TUDOR TRUST
,01-Jan-16,,,"1,213","£346,667",,13-Dec-24,£50,,"£15,406,112",,TRUE,207499,,22/09/1962,,2025-12-01 01:08:12.011534+00:00,2851437,31/12/2024,"GB-CHC-207499, GB-COH-06129936",GB-CHC-207499,CRIPPLEGATE FOUNDATION,"registered-charity, registered-charity-england-and-wales",Registered Charity,GB-CHC-207499,N1 8HX,ccew,"Funder, Recipient, Publisher",Cripplegate Foundation,Org IDsGB-CHC-207499,https://www.cripplegate.org,Registered Charity,Other Names used in the dataCRIPPLEGATE FOUNDATION
,15-Nov-14,,,280,"£50,000",,18-Sep-25,£300,,"£4,216,650",,TRUE,1161209,,08/04/2015,,2025-12-01 01:08:12.011534+00:00,964040,30/04/2024,"GB-CHC-1161209, GB-COH-CE003863",GB-CHC-1161209,THE EQ FOUNDATION,"registered-charity, registered-charity-england-and-wales, charitable-incorporated-organisation, incorporated-charity, charitable-incorporated-organisation-association",Registered Charity,GB-CHC-1161209,EC3R 6DL,ccew,"Funder, Publisher",The EQ Foundation,Org IDsGB-CHC-1161209,https://eqfoundation.org.uk,Registered Charity,Other Names used in the dataTHE EQ FOUNDATION
,21-Apr-20,,,"1,844","£56,000",,30-Sep-25,£40,,"£2,599,876",,TRUE,1094935,4468139,05/12/2002,,2025-12-01 01:08:12.011534+00:00,750121,31/03/2024,"GB-CHC-1094935, GB-COH-04468139","GB-CHC-1094935, GB-COH-04468139",HEREFORDSHIRE COMMUNITY FOUNDATION,"registered-charity, registered-charity-england-and-wales, registered-company, incorporated-charity",Registered Charity,"GB-CHC-1094935, GB-COH-04468139",HR4 9HP,ccew,"Funder, Recipient, Publisher",Herefordshire Community Foundation,"Org IDsGB-CHC-1094935, GB-COH-04468139",https://www.herefordshirecf.org,Registered Charity,Other Names used in the dataHEREFORDSHIRE COMMUNITY FOUNDATION
,12-Jul-16,,,"1,038","£629,000",,23-Jul-25,£250,,"£26,056,523",,TRUE,278072,,12/07/1979,,2025-12-01 01:08:12.011534+00:00,1862000,31/07/2024,GB-CHC-278072,GB-CHC-278072,The Leathersellers' Foundation,"registered-charity, registered-charity-england-and-wales",Registered Charity,GB-CHC-278072,EC3A 6AB,ccew,"Funder, Publisher",The Leathersellers' Foundation,Org IDsGB-CHC-278072,https://www.leathersellers.co.uk,Registered Charity,
,20-Nov-15,,,"1,183","£300,000",,03-Apr-25,£240,,"£15,488,745",,TRUE,1161290,9457101,15/04/2015,,2025-12-01 01:08:12.011534+00:00,3269600,31/03/2025,"GB-CHC-1161290, GB-SC-SC050400, GB-COH-09457101","GB-CHC-1161290, GB-COH-09457101",THE VIRGIN MONEY FOUNDATION,"registered-charity, registered-charity-england-and-wales, registered-company, incorporated-charity",Registered Charity,"GB-CHC-1161290, GB-COH-09457101",NE3 4PL,ccew,"Funder, Recipient, Publisher",Virgin Money Foundation,"Org IDsGB-CHC-1161290, GB-COH-09457101",https://www.virginmoneyfoundation.org.uk,Registered Charity,Other Names used in the dataTHE VIRGIN MONEY FOUNDATION
,08-Jan-18,,,"3,440","£158,200",,07-Mar-25,£100,,"£29,505,554",,TRUE,1096892,4443312,07/04/2003,,2025-12-01 01:08:12.011534+00:00,4107619,31/03/2024,"GB-CHC-1096892, GB-COH-04443312, GB-CHC-222866","GB-CHC-1096892, GB-COH-04443312",COMMUNITY FOUNDATION FOR LEEDS,"registered-charity, registered-charity-england-and-wales, registered-company, incorporated-charity",Registered Charity,"GB-CHC-1096892, GB-COH-04443312",LS1 4AP,ccew,"Funder, Recipient, Publisher",Leeds Community Foundation,"Org IDsGB-CHC-1096892, GB-COH-04443312",https://www.leedscf.org.uk,Registered Charity,Other Names used in the dataCOMMUNITY FOUNDATION FOR LEEDS
,26-Mar-20,,,86,"£4,951,980",,01-Jun-22,£70,,"£96,188,969",,TRUE,1182809,,04/04/2019,,2025-12-01 01:08:12.011534+00:00,481270,31/03/2024,"GB-CHC-1182809, GB-SC-SC050062",GB-CHC-1182809,NATIONAL EMERGENCIES TRUST,"registered-charity, registered-charity-england-and-wales, charitable-incorporated-organisation, incorporated-charity, charitable-incorporated-organisation-foundation",Registered Charity,GB-CHC-1182809,SW1P 2DX,ccew,"Funder, Recipient, Publisher",National Emergencies Trust,Org IDsGB-CHC-1182809,https://www.nationalemergenciestrust.org.uk,Registered Charity,Other Names used in the dataNATIONAL EMERGENCIES TRUST
,15-Feb-17,,,29,"£5,700,952",,27-Mar-24,"£100,000",,"£49,572,750",,TRUE,,3037449,20/03/1995,,2025-11-29 02:29:10.922354+00:00,,,GB-COH-03037449,GB-COH-03037449,LONDON COUNCILS LIMITED,"company-limited-by-guarantee, registered-company",Company Limited by Guarantee,"GB-COH-03037449, GB-COH-3037449",EC4R 9AB,companies,"Funder, Recipient, Publisher",London Councils,Org IDsGB-COH-03037449,,Company Limited by Guarantee,Other Names used in the dataLONDON COUNCILS LIMITED
,25-Feb-15,,,736,"£1,000,000",,11-Dec-24,£224,,"£34,717,968",,TRUE,258583,950696,31/07/1969,,2025-12-01 01:08:12.011534+00:00,6696394,31/12/2024,"GB-CHC-258583, GB-COH-00950696, XI-ROR-05pebnr13, XI-GRID-grid.478485.2","GB-CHC-258583, GB-COH-00950696",THE BARING FOUNDATION,"registered-charity, registered-charity-england-and-wales, registered-company, incorporated-charity",Registered Charity,"GB-CHC-258583, GB-COH-00950696",EC2R 6DA,ccew,"Funder, Recipient, Publisher",The Baring Foundation,"Org IDsGB-CHC-258583, GB-COH-00950696",https://www.baringfoundation.org.uk,Registered Charity,Other Names used in the dataTHE BARING FOUNDATION
,18-Jan-12,,,"1,819","£15,000",,07-Dec-23,£200,,"£3,920,112",,TRUE,1066739,3460296,08/12/1997,,2025-12-01 01:08:12.011534+00:00,278790,31/12/2024,"GB-CHC-1066739, GB-COH-03460296","GB-CHC-1066739, GB-COH-03460296",LONDON CATALYST,"registered-charity, registered-charity-england-and-wales, registered-company, incorporated-charity",Registered Charity,"GB-CHC-1066739, GB-COH-03460296",SE1 7JB,ccew,"Funder, Publisher",London Catalyst,"Org IDsGB-CHC-1066739, GB-COH-03460296",https://www.londoncatalyst.org.uk,Registered Charity,Other Names used in the dataLONDON CATALYST
,01-Nov-16,,,"11,303","£120,000,000",,19-Aug-24,£50,,"£8,721,046,594",,TRUE,,,,,2025-12-01 01:00:59.111694+00:00,,,"GB-GOR-D16, GB-GOVUK-home-office, XI-ROR-00y81cg83, XI-GRID-grid.453678.b, XI-WIKIDATA-Q763388","GB-GOR-D16, GB-GOVUK-home-office",Home Office,government-organisation,Government Organisation,"GB-GOR-D16, GB-GOVUK-home-office",,gor,Funder,Home Office,"Org IDsGB-GOR-D16, GB-GOVUK-home-office",https://www.gov.uk/government/organisations/home-office,Government Organisation,
,26-Jan-98,,,720,"£2,475,179",,13-Oct-25,£460,,"£36,480,988",,TRUE,1059652,,09/12/1996,,2025-12-01 01:08:12.011534+00:00,23058317,05/04/2024,GB-CHC-1059652,GB-CHC-1059652,THE THREE GUINEAS TRUST,"registered-charity, registered-charity-england-and-wales, trust",Registered Charity,GB-CHC-1059652,SW1V 1AP,ccew,"Funder, Publisher",Three Guineas Trust,Org IDsGB-CHC-1059652,,Registered Charity,Other Names used in the dataTHE THREE GUINEAS TRUST
,13-Mar-20,,,253,"£1,600,000",,07-Jul-25,"£10,000",,"£37,647,222",,TRUE,271297,RC000126,24/05/1976,,2025-12-01 01:08:12.011534+00:00,10334000,30/06/2024,"GB-CHC-271297, GB-COH-RC000126","GB-CHC-271297, GB-COH-RC000126",THE LEGAL EDUCATION FOUNDATION,"registered-charity, registered-charity-england-and-wales, registered-company, incorporated-charity",Registered Charity,"GB-CHC-271297, GB-COH-RC000126",WC1E 7EB,ccew,"Funder, Recipient, Publisher",LEF,"Org IDsGB-CHC-271297, GB-COH-RC000126",https://lef.org.uk,Registered Charity,Other Names used in the dataTHE LEGAL EDUCATION FOUNDATION
,07-Apr-22,,,"1,325","£333,709",,28-Mar-25,£200,,"£8,689,095",,TRUE,1068887,3422207,26/03/1998,,2025-12-01 01:08:12.011534+00:00,4387103,31/03/2025,"GB-CHC-1068887, GB-COH-03422207","GB-CHC-1068887, GB-COH-03422207",COMMUNITY FOUNDATIONS FOR LANCASHIRE AND MERSEYSIDE,"registered-charity, registered-charity-england-and-wales, registered-company, incorporated-charity",Registered Charity,"GB-CHC-1068887, GB-COH-03422207",L1 3DN,ccew,"Funder, Recipient, Publisher",Community Foundations for Lancashire & Merseyside,"Org IDsGB-CHC-1068887, GB-COH-03422207",https://www.cfmerseyside.org.uk,Registered Charity,Other Names used in the dataCOMMUNITY FOUNDATIONS FOR LANCASHIRE AND MERSEYSIDE
,06-Jul-98,,,"46,774","£121,761,813",,28-Mar-24,"£-669,212",,"£8,874,632,183",,TRUE,,,,,2025-12-01 01:00:59.030170+00:00,,,"GB-GOR-D5, GB-GOVUK-department-for-digital-culture-media-sport","GB-GOR-D5, GB-GOVUK-department-for-digital-culture-media-sport","Department for Digital, Culture, Media and Sport",government-organisation,Government Organisation,"GB-GOR-D5, GB-GOVUK-department-for-digital-culture-media-sport",,gor,"Funder, Recipient","Department for Digital, Culture, Media and Sport","Org IDsGB-GOR-D5, GB-GOVUK-department-for-digital-culture-media-sport",https://www.gov.uk/government/organisations/department-for-digital-culture-media-sport,Government Organisation,"Other Names used in the dataDepartment for Digital, Culture, Media and Sport; Department for Culture, Media & Sport; Department for Digital, Culture, Media & Sport; Department for Culture, Media and Sport"
,15-Jan-21,,,"1,331","£169,476",,28-Jul-25,£200,,"£2,201,375",,TRUE,1069082,3545437,08/04/1998,,2025-12-01 01:08:12.011534+00:00,1340090,31/12/2024,"GB-CHC-1069082, GB-COH-03545437","GB-CHC-1069082, GB-COH-03545437",YORKSHIRE BUILDING SOCIETY CHARITABLE FOUNDATION,"registered-charity, registered-charity-england-and-wales, registered-company, incorporated-charity",Registered Charity,"GB-CHC-1069082, GB-COH-03545437",BD5 8LJ,ccew,"Funder, Publisher",Yorkshire Building Society Charitable Foundation,"Org IDsGB-CHC-1069082, GB-COH-03545437",https://www.ybs.co.uk/charitablefoundation,Registered Charity,Other Names used in the dataYORKSHIRE BUILDING SOCIETY CHARITABLE FOUNDATION
,08-Jun-15,,,322,"£50,000",,01-Oct-22,£100,,"£1,050,525",,TRUE,,,06/10/2014,,2025-12-01 01:03:12.400830+00:00,,,"GB-MPR-7018, GB-COH-RS007018, GB-SHPE-4808","GB-MPR-7018, GB-COH-RS007018",One Manchester Limited,"mutual, community-benefit-society",Community Benefit Society,"GB-MPR-7018, GB-COH-RS007018",M15 5RN,mutuals,"Funder, Recipient, Publisher",One Manchester,"Org IDsGB-MPR-7018, GB-COH-RS007018",,Community Benefit Society,Other Names used in the dataOne Manchester Limited
"17,676",09-Apr-18,"3,544",,,"£400,000",,07-Jul-25,£50,,"£39,190,832",,TRUE,207360,9751836,06/03/1964,,2025-12-01 01:08:12.011534+00:00,2326000,31/03/2025,"GB-CHC-207360, GB-CHC-1164703, GB-COH-09751836, GB-CHC-279797","GB-CHC-207360, GB-CHC-1164703, GB-COH-09751836",THE ROYAL MASONIC BENEVOLENT INSTITUTION,"registered-charity, registered-charity-england-and-wales, registered-company, incorporated-charity",Registered Charity,"GB-CHC-207360, GB-COH-09751836",WC2B 5AZ,ccew,"Funder, Publisher",Masonic Charitable Foundation,"Org IDsGB-CHC-207360, GB-CHC-1164703, GB-COH-09751836",https://www.mcf.org.uk,Registered Charity,Other Names used in the dataTHE ROYAL MASONIC BENEVOLENT INSTITUTION
,01-Nov-20,,,98,"£25,000",,01-Nov-20,"£1,884",,"£1,092,906",,TRUE,NIC100004,,18/06/2014,,2025-12-01 01:07:54.064677+00:00,5842832,31/03/2024,"GB-NIC-100004, GB-COH-NI019258",GB-NIC-100004,Disability Action (NI),"registered-charity, registered-charity-northern-ireland",Registered Charity,GB-NIC-100004,BT3 9ED,ccni,"Funder, Recipient, Publisher",Disability Action,Org IDsGB-NIC-100004,http://www.disabilityaction.org,Registered Charity,Other Names used in the dataDisability Action (NI)
,27-May-15,,,882,"£150,000",,25-Feb-25,"£1,000",,"£26,138,902",,TRUE,SC012710,,08/03/1979,,2025-11-27 20:00:27.802699+00:00,2257000,31/03/2025,GB-SC-SC012710,GB-SC-SC012710,The R S Macdonald Charitable Trust,"registered-charity, registered-charity-scotland, trust",Registered Charity,GB-SC-SC012710,EH1 2BB,oscr,"Funder, Publisher",R S Macdonald Charitable Trust,Org IDsGB-SC-SC012710,http://www.rsmacdonald.com,Registered Charity,Other Names used in the dataThe R S Macdonald Charitable Trust
175,31-Mar-20,144,,,"£7,000",,31-Mar-24,£500,,"£592,687",,TRUE,294629,,06/06/1986,,2025-12-01 01:08:12.011534+00:00,181838,31/03/2025,GB-CHC-294629,GB-CHC-294629,THE FENTON ARTS TRUST,"registered-charity, registered-charity-england-and-wales, trust",Registered Charity,GB-CHC-294629,SE23 9DG,ccew,"Funder, Publisher",Fenton Arts Trust,Org IDsGB-CHC-294629,https://www.fentonartstrust.org.uk,Registered Charity,Other Names used in the dataTHE FENTON ARTS TRUST
,07-Jan-13,,,275,"£500,000",,10-Jul-24,£300,,"£10,915,748",,TRUE,1078217,,16/11/1999,,2025-12-01 01:08:12.011534+00:00,333876,31/12/2024,GB-CHC-1078217,GB-CHC-1078217,DAVID AND ELAINE POTTER FOUNDATION,"registered-charity, registered-charity-england-and-wales",Registered Charity,GB-CHC-1078217,NW8 8QY,ccew,"Funder, Publisher",The David & Elaine Potter Foundation,Org IDsGB-CHC-1078217,https://www.potterfoundation.com,Registered Charity,Other Names used in the dataDAVID AND ELAINE POTTER FOUNDATION
,30-Jun-20,,,135,"£1,000,000",,28-Nov-24,"£5,490",,"£24,657,141",,TRUE,1187700,,03/02/2020,,2025-12-01 01:08:12.011534+00:00,3510321,31/12/2024,GB-CHC-1187700,GB-CHC-1187700,THE PRUDENCE TRUST,"registered-charity, registered-charity-england-and-wales, trust",Registered Charity,GB-CHC-1187700,W1S 3EA,ccew,"Funder, Publisher",Prudence Trust,Org IDsGB-CHC-1187700,https://www.theprudencetrust.org,Registered Charity,Other Names used in the dataTHE PRUDENCE TRUST
,22-Jan-13,,,"1,863","£250,000",,18-Aug-25,£500,,"£38,498,889",,TRUE,1000147,,21/08/1990,,2025-12-01 01:08:12.011534+00:00,7495299,30/04/2024,GB-CHC-1000147,GB-CHC-1000147,THE A B CHARITABLE TRUST,"registered-charity, registered-charity-england-and-wales, trust",Registered Charity,GB-CHC-1000147,WC1B 3SR,ccew,"Funder, Recipient, Publisher",A B Charitable Trust,Org IDsGB-CHC-1000147,https://abcharitabletrust.org.uk,Registered Charity,Other Names used in the dataTHE A B CHARITABLE TRUST
,05-Dec-96,,,"3,634","£1,000,000",,03-Jun-25,£0,,"£9,627,868",,TRUE,299963,,09/09/1988,,2025-12-01 01:08:12.011534+00:00,202191,05/04/2024,GB-CHC-299963,GB-CHC-299963,THE WOODWARD CHARITABLE TRUST,"registered-charity, registered-charity-england-and-wales, trust",Registered Charity,GB-CHC-299963,SW1V 1AP,ccew,"Funder, Publisher",Woodward Charitable Trust,Org IDsGB-CHC-299963,https://www.woodwardcharitabletrust.org.uk,Registered Charity,Other Names used in the dataTHE WOODWARD CHARITABLE TRUST
,13-Jan-16,,,"3,237","£536,000",,12-Dec-24,£390,,"£66,349,024",,TRUE,274100,1321952,26/07/1977,,2025-12-01 01:08:12.011534+00:00,12329000,31/12/2024,"GB-CHC-274100, GB-COH-01321952","GB-CHC-274100, GB-COH-01321952",THE CLOTHWORKERS' FOUNDATION,"registered-charity, registered-charity-england-and-wales, registered-company, incorporated-charity",Registered Charity,"GB-CHC-274100, GB-COH-01321952",EC3M 1BD,ccew,"Funder, Publisher",The Clothworkers Foundation,"Org IDsGB-CHC-274100, GB-COH-01321952",https://clothworkersfoundation.org.uk,Registered Charity,Other Names used in the dataTHE CLOTHWORKERS' FOUNDATION; The Clothworkers Foundation; The Clothworkers' Foundation
,01-Nov-13,,,"4,065","£75,000,000",,09-Dec-24,£8,,"£1,950,086,521",,TRUE,,,22/06/1905,,2024-03-01 01:01:01.231383+00:00,,,"GB-LAE-GLA, XI-ROR-04g0aqp14, GB-UKLA-GLA, XI-GRID-grid.420475.0, XI-WIKIDATA-Q1135166","GB-LAE-GLA, GB-UKLA-GLA",Greater London Authority,"local-authority, strategic-regional-authority",Local Authority,GB-LAE-GLA,,lae,"Funder, Recipient, Publisher",Greater London Authority,"Org IDsGB-LAE-GLA, GB-UKLA-GLA",,Local Authority,
,17-Jun-06,,,259,,,03-Jul-24,,,,,TRUE,1207859,,16/04/2024,,2025-12-01 01:08:12.011534+00:00,2849755,05/04/2025,"GB-CHC-1207859, GB-COH-CE035877, GB-CHC-265647",GB-CHC-1207859,THE SAMWORTH FOUNDATION,"registered-charity, registered-charity-england-and-wales, charitable-incorporated-organisation, incorporated-charity, charitable-incorporated-organisation-foundation",Registered Charity,GB-CHC-1207859,LE13 1GA,ccew,"Funder, Publisher",The Samworth Foundation,Org IDsGB-CHC-1207859,https://www.samworthfoundation.org.uk,Registered Charity,Other Names used in the dataTHE SAMWORTH FOUNDATION; The Samworth Foundation; Samworth Foundation
,24-Apr-18,,,51,"£300,000",,01-May-25,"£20,000",,"£5,929,592",,TRUE,312749,,03/08/1966,,2025-12-01 01:08:12.011534+00:00,963000,31/03/2024,GB-CHC-312749,GB-CHC-312749,ST PAUL'S SCHOOLS FOUNDATION,"registered-charity, registered-charity-england-and-wales",Registered Charity,GB-CHC-312749,EC2R 8AB,ccew,"Funder, Recipient",ST PAUL'S SCHOOLS FOUNDATION,Org IDsGB-CHC-312749,https://www.mercers.co.uk,Registered Charity,Other Names used in the dataSt Paul's Schools Foundation
,08-Dec-17,,,"1,390","£418,072",,28-Mar-24,£240,,"£10,674,848",,TRUE,1156082,8794474,10/03/2014,,2025-12-01 01:08:12.011534+00:00,7736483,31/03/2024,"GB-CHC-1156082, GB-COH-08794474","GB-CHC-1156082, GB-COH-08794474",HERTFORDSHIRE COMMUNITY FOUNDATION,"registered-charity, registered-charity-england-and-wales, registered-company, incorporated-charity",Registered Charity,"GB-CHC-1156082, GB-COH-08794474",AL10 0RN,ccew,"Funder, Recipient, Publisher",Hertfordshire Community Foundation,"Org IDsGB-CHC-1156082, GB-COH-08794474",https://www.hertscf.org.uk,Registered Charity,Other Names used in the dataHERTFORDSHIRE COMMUNITY FOUNDATION
,28-Apr-12,,,"1,135","£250,000",,19-Oct-24,£100,,"£43,533,026",,TRUE,1115476,5836950,20/07/2006,,2025-12-01 01:08:12.011534+00:00,2031000,31/03/2025,"GB-CHC-1115476, GB-COH-05836950, XI-ROR-029pwdz12, XI-GRID-grid.499699.2","GB-CHC-1115476, GB-COH-05836950",THE BARROW CADBURY TRUST,"registered-charity, registered-charity-england-and-wales, registered-company, incorporated-charity",Registered Charity,"GB-CHC-1115476, GB-COH-05836950",SE11 5RR,ccew,"Funder, Recipient, Publisher",Barrow Cadbury Trust,"Org IDsGB-CHC-1115476, GB-COH-05836950",https://www.barrowcadbury.org.uk,Registered Charity,Other Names used in the dataTHE BARROW CADBURY TRUST
,06-Apr-20,,,34,"£162,738",,06-Apr-20,"£1,500",,"£727,407",,TRUE,1113218,,09/03/2006,,2025-12-01 01:08:12.011534+00:00,38876,05/04/2024,GB-CHC-1113218,GB-CHC-1113218,GOD MY SILENT PARTNER FOUNDATION,"registered-charity, registered-charity-england-and-wales",Registered Charity,GB-CHC-1113218,WD6 4RS,ccew,"Funder, Publisher",GMSP Foundation,Org IDsGB-CHC-1113218,https://gmspfoundation.org,Registered Charity,Other Names used in the dataGOD MY SILENT PARTNER FOUNDATION
,03-Apr-20,,,"1,002","£153,454",,31-Mar-21,£582,,"£12,767,557",,TRUE,1091263,4383269,21/03/2002,,2025-12-01 01:08:12.011534+00:00,11533000,31/03/2024,"GB-CHC-1091263, GB-COH-04383269, GB-CHC-1122432","GB-CHC-1091263, GB-COH-04383269",THE LONDON COMMUNITY FOUNDATION,"registered-charity, registered-charity-england-and-wales, registered-company, incorporated-charity",Registered Charity,"GB-CHC-1091263, GB-COH-04383269",SE1 3GN,ccew,"Funder, Recipient, Publisher",The London Community Foundation,"Org IDsGB-CHC-1091263, GB-COH-04383269",https://www.londoncf.org.uk,Registered Charity,Other Names used in the dataTHE LONDON COMMUNITY FOUNDATION
,17-Jan-20,,,"1,560","£410,500",,28-Nov-25,£50,,"£7,646,280",,TRUE,1094646,4269030,15/11/2002,,2025-12-01 01:08:12.011534+00:00,3393284,31/03/2024,"GB-CHC-1094646, GB-COH-04269030","GB-CHC-1094646, GB-COH-04269030",NORTHAMPTONSHIRE COMMUNITY FOUNDATION,"registered-charity, registered-charity-england-and-wales, registered-company, incorporated-charity",Registered Charity,"GB-CHC-1094646, GB-COH-04269030",NN1 1UD,ccew,"Funder, Recipient, Publisher",Northamptonshire Community Foundation,"Org IDsGB-CHC-1094646, GB-COH-04269030",https://www.ncf.uk.com,Registered Charity,Other Names used in the dataNORTHAMPTONSHIRE COMMUNITY FOUNDATION
,03-Nov-21,,,497,"£206,936",,25-Nov-24,£800,,"£9,777,555",,TRUE,SC040387,,24/03/2009,,2025-11-27 20:00:53.099082+00:00,11607846,31/12/2024,"GB-SC-SC040387, GB-COH-SC356549",GB-SC-SC040387,People's Postcode Trust,"registered-charity, registered-charity-scotland, registered-company, incorporated-charity",Registered Charity,GB-SC-SC040387,EH2 4ET,oscr,Funder,People's Postcode Trust,Org IDsGB-SC-SC040387,http://www.postcodetrust.org.uk,Registered Charity,
,14-Feb-23,,,57,"£15,650",,19-Apr-23,"£1,500",,"£562,693",,TRUE,1091450,4244715,27/03/2002,,2025-12-01 01:08:12.011534+00:00,3149874,30/06/2024,"GB-CHC-1091450, GB-COH-04244715, XI-ROR-01hppyk14, XI-GRID-grid.479500.f","GB-CHC-1091450, GB-COH-04244715",NEW PHILANTHROPY CAPITAL,"registered-charity, registered-charity-england-and-wales, registered-company, incorporated-charity",Registered Charity,"GB-CHC-1091450, GB-COH-04244715",SE1 0BX,ccew,"Funder, Recipient, Publisher",New Philanthropy Capital (NPC),"Org IDsGB-CHC-1091450, GB-COH-04244715",https://www.thinknpc.org,Registered Charity,Other Names used in the dataNEW PHILANTHROPY CAPITAL
,21-Jun-13,,,39,"£130,050",,17-Feb-25,"£1,000",,"£2,766,272",,TRUE,1158914,,20/10/2014,,2025-12-01 01:08:12.011534+00:00,133550,05/04/2025,"GB-CHC-1158914, GB-CHC-271180",GB-CHC-1158914,THE MILLFIELD HOUSE FOUNDATION (1),"registered-charity, registered-charity-england-and-wales, trust",Registered Charity,GB-CHC-1158914,NE6 5LB,ccew,"Funder, Publisher",Millfield House Foundation,Org IDsGB-CHC-1158914,https://www.mhfdn.org.uk,Registered Charity,Other Names used in the dataTHE MILLFIELD HOUSE FOUNDATION (1)
,01-Apr-06,,,"5,386","£995,000,000",,01-Apr-23,"£-5,446,986",,"£16,291,205,322",,,,,,,,,,,,,,,,,,Funder,"Foreign, Commonwealth & Development Office",Org IDsGB-GOR-D1315,,,
,01-Apr-17,,,"44,276","£1,204,500,000",,30-Mar-24,"£-121,020,265",,"£47,780,820,188",,TRUE,,,,,2025-12-01 01:00:59.031480+00:00,,,"GB-GOR-D4, GB-GOVUK-ministry-of-housing-communities-and-local-government-2018-2021, GB-GOVUK-ministry-of-housing-communities-and-local-government","GB-GOR-D4, GB-GOVUK-ministry-of-housing-communities-and-local-government-2018-2021, GB-GOVUK-ministry-of-housing-communities-and-local-government","Ministry of Housing, Communities and Local Government",government-organisation,Government Organisation,"GB-GOR-D4, GB-GOVUK-ministry-of-housing-communities-and-local-government",,gor,Funder,"Ministry of Housing, Communities and Local Government","Org IDsGB-GOR-D4, GB-GOVUK-ministry-of-housing-communities-and-local-government-2018-2021, GB-GOVUK-ministry-of-housing-communities-and-local-government",https://www.gov.uk/government/organisations/ministry-of-housing-communities-and-local-government,Government Organisation,"Other Names used in the dataMinistry of Housing, Communities & Local Government; Department for Levelling Up, Housing and Communities; Ministry for Housing, Communities and Local Government"
,07-Dec-22,,,305,"£40,000",,24-Jun-25,£200,,"£2,770,794",,TRUE,1105916,5178537,16/09/2004,,2025-12-01 01:08:12.011534+00:00,973287,30/09/2024,"GB-CHC-1105916, GB-COH-05178537","GB-CHC-1105916, GB-COH-05178537",THE JAMES TUDOR FOUNDATION,"registered-charity, registered-charity-england-and-wales, registered-company, incorporated-charity",Registered Charity,"GB-CHC-1105916, GB-COH-05178537",BS9 3HQ,ccew,"Funder, Publisher",The James Tudor Foundation,"Org IDsGB-CHC-1105916, GB-COH-05178537",https://www.jamestudor.org.uk,Registered Charity,Other Names used in the dataTHE JAMES TUDOR FOUNDATION
,24-Sep-21,,,85,"£340,000",,03-Dec-24,£250,,"£3,510,843",,TRUE,263294,,23/11/1971,,2025-12-01 01:08:12.011534+00:00,2637265,31/08/2024,GB-CHC-263294,GB-CHC-263294,THE AIM FOUNDATION,"registered-charity, registered-charity-england-and-wales, trust",Registered Charity,GB-CHC-263294,TA1 2PX,ccew,"Funder, Publisher",The AIM Foundation,Org IDsGB-CHC-263294,https://www.theaimfoundation.org.uk,Registered Charity,Other Names used in the dataTHE AIM FOUNDATION; The Aim Foundation
