Charity Reg. No.,Trust Name,Geo Area,Project Alignments ,Website / CC Record,Next Steps,Giving total (year),Grant Range,Average Gift,Potential ask value,Correspondent Name,,Relationship status,Previous application or funder,Contact Details,,Happy to receive intro calls / emails?,Application type,Application details,Application deadlines,Grant making policy details,Multi-year grants avaliable?,,,,,,,
1090360,Greg & Rosie Lock Charitable Foundation ,UK - Some preference for London,-,THE GREG & ROSIE LOCK CHARITABLE FOUNDATION TRUST - 1090360,Awaiting outcome,-,-,-,-,Alan McDougall,KILLIK & CO,Cold,-,"KILLIK & CO
CROWN HOUSE
CROWN STREET
IPSWICH
IP1 3HS
Phone:	02073370643",alan.mcdougall@killik.com,No indication but contact details are avaliable.,TBC,TBC,TBC,TBC,TBC,,,,,,,
255230,Grocer's Charity ,UK,"Health, Disability, elderly, young people",https://grocershall.co.uk/the-charity/apply-for-a-grant,Application needed,£1m,-,"£5,000.00","£5,000.00",-,-,Cold,-,"Grocers’ Hall
Princes Street
London EC2R 8AD
020 7606 3113",reception@grocershall.co.uk,No indication but contact details are avaliable.,Online,"Online eligbility must be completed before online application, when you will be invited to stage 2. ",Initial inquiries accepted in Sept.,See website - Reserves under 12 months,No,,,,,,,
1080794,Hall Garth Charitable Settlement,UK,General,THE HALL GARTH CHARITABLE SETTLEMENT - 1080794,Awaiting outcome,-,-,-,-,-,-,Cold,-,"Maryvale
Mill Street
LUDLOW
Shropshire
SY8 1GH
Phone:	01584878353",hallgarthcharity@cundallsy8.co.uk,No indication but contact details are avaliable.,TBC,TBC,TBC,TBC,TBC,,,,,,,
1056500,Harry Bacon Foundation,UK,General,THE HARRY BACON FOUNDATION - 1056500,Application needed,-,-,-,-,-,-,Cold,-,"Ludlow Trust Company Limited
First Floor
Tower Wharf
Cheese Lane
Bristol
BS2 0JJ
Phone:	01173138200",charitabletrusts@ludlowtrust.com,-,Online,Online via the Ludlow Portal,Ongoing,-,-,,,,,,,
1115323,Hasluck Charitable Trust ,UK and Worldwide,Health / Disability,THE HASLUCK CHARITABLE TRUST - 1115323,Exploratory call / email needed.,"£14,000",-,"£2,692.00",£1000 - £2000,Misha Lalji,Trust Manager - Rathbones,Cold,-,"30 GRESHAM STREET
LONDON
EC2V 7QN
Phone:	02073195609",Misha.Lalji@rathbones.com,No indication but contact details are avaliable.,TBC,TBC,TBC,TBC,TBC,,,,,,,
1103820,Hawksbee Charitable Trust ,UK,General,HAWKSBEE CHARITABLE TRUST - 1103820,Awaiting outcome,-,-,-,-,-,-,Cold,-,"Ludlow Trust Company Limited
First Floor
Tower Wharf
Cheese Lane
Bristol
BS2 0JJ
Phone:	01173138200",charitabletrusts@ludlowtrust.com,-,Online,Online via the Ludlow Portal,Ongoing,-,-,,,,,,,
1161373,Hays Travel Foundation,UK,Health / Young People,Charity Funding | Foundation - Hays Travel,Unsuccessful,"£337,556",-,"£2,909.00","£2,900.00",-,-,Cold,-,"Hays Travel
Gilbridge House
High Street West
SUNDERLAND
SR1 3HA
Phone:	0191 8148094",enquiries@haystravelfoundation.co.uk,No indication but contact details are avaliable.,Online,Online from areas Hay's operates,TBC,TBC,TBC,,,,,,,
 1148306,HC Foundation ,THE STANLEY FOSTER CHARITABLE TRUST - 1085985,Sickness,HC FOUNDATION - 1148306,Awaiting outcome,"£43,000",-,"£10,750.00",-,-,-,Cold,-,"1 Bridge Lane
Suite 1A First Floor
LONDON
NW11 0EA
Phone:	02084588900",-,No indication but contact details are avaliable.,TBC,TBC,TBC,TBC,TBC,,,,,,,
286967,Health Foundation,UK,Health,"
www.health.org.uk",Check website regularly for open funding rounds.,-,-,-,-,-,-,Cold,-,"Salisbury Square House
8 Salisbury Square
LONDON
EC4Y 8AP
02072578000",info@health.org.uk,No indication but contact details are avaliable.,Online,Depends on the Open Grant Round,Depends on the Open Grant Round,Depends on the Open Grant Round,Depends on the Open Grant Round,,,,,,,
1138813,Hilary Awdry Charitable Trust,UK,Hospice / pallative care,THE HILARY AWDRY CHARITABLE TRUST - 1138813,Awaiting outcome,"£51,787",-,"£1,101","£1,000.00",Anna Wensley Stock,Trustee,Cold,-,"Wansbroughs Solicitors
Northgate House
Northgate Street
DEVIZES
SN10 1JX
Phone:	01380 733300",anna.wensleystock@wansbroughs.com,No indication but contact details are avaliable.,TBC,TBC,TBC,TBC,TBC,,,,,,,
1186232,Hollyhock Charitable Foundation,UK and Worlwide,Health and Welfare,HOLLYHOCK CHARITABLE FOUNDATION - 1186232,Exploratory call / email needed.,"£5,445,095",-,"£95,000","£100,000",-,-,Cold,Unsuccessful application in 2022,"RAWLINSON & HUNTER
6 NEW STREET SQUARE
LONDON
EC4A 3AQ
Phone:	02078422000",hollyhock@rawlinson-hunter.com,No indication but contact details are avaliable.,TBC,TBC,TBC,TBC,TBC,,,,,,,
1123381,Hospital Saturday Fund,UK,Health,Hospital Saturday Fund – Making Medical Grants to Improve the Health of Communities,Awaiting outcome,-,Standard up to £2k and Large up to £10k,-,"£2,000",-,-,Warm,"£2,000 received in 24/25","24 UPPER GROUND
LONDON
SE1 9PD
Phone:	02072021334",charity@hsf.eu.com,Yes,Online,-,See website,See website,No,,,,,,,
1180551,IMP Trust,UK,General,THE IMP TRUST - 1180551,Application needed,"£88,733",-,"£7,394","£7,000",-,-,Cold,Last application the beginning of 2025.,"Ludlow Trust Company Limited
First Floor
Tower Wharf
Cheese Lane
Bristol
BS2 0JJ
Phone:	01173138200",charitabletrusts@ludlowtrust.com,-,Online,Online via the Ludlow Portal,Ongoing,-,-,,,,,,,
290544,Institute of Our Lady of Mercy,UK,women and children,INSTITUTE OF OUR LADY OF MERCY - 290544,Awaiting outcome,-,-,-,-,-,-,Lapsed,-,"INSTITUTE OF OUR LADY OF MERCY
CONVENT OF MERCY
CEMETERY ROAD
YEADON
LEEDS
LS19 7UR
Phone:	01132500253",iolm@iolmercy.org.uk,No indication but contact details are avaliable.,TBC,TBC,TBC,TBC,TBC,,,,,,,
1059865,J Isaacs Charitable Trust,UK,"Children's pallative care, elderly, cancer care",THE J ISAACS CHARITABLE TRUST - 1059865,Exploratory call / email needed.,"£300,229",-,-,"£20,000",-,-,Cold,-,"Mutual House - 4th Floor
70 Conduit Street
London
W1S 2GF
Phone:	02072202305",-,No indication but contact details are avaliable.,TBC,TBC,TBC,TBC,TBC,,,,,,,
206321,Jeremy and John Sacher Charitable Trust ,UK,General,THE JEREMY AND JOHN SACHER CHARITABLE TRUST - 206321,Awaiting outcome,"£318,450",-,"£13,268",-,Ragini Majithia,RVM Accountants,Cold,-,"RVM Accountants
62 Harts Grove
WOODFORD GREEN
Essex
IG8 0BN
Phone:	07748239568",ragini.majithia@rvmaccountants.com,No indication but contact details are avaliable.,TBC,TBC,TBC,TBC,TBC,,,,,,,
246636,Joe Hyman Charitable Trust,UK,"Sick, disabled, elderly and disadvantaged.",THE JOE HYMAN CHARITABLE TRUST - 246636,Awaiting outcome,"£8,232",-,£888,£800,-,-,Cold,-,"C/o TC Group
6th Floor
Kings House
9 - 10 Haymarket
London
Phone:	02074865553",-,No indication but contact details are avaliable.,TBC,TBC,TBC,TBC,TBC,,,,,,,
1050110,John Coldman Charitable Trust,UK,Young People / Health,THE JOHN COLDMAN CHARITABLE TRUST - 1050110,Exploratory call / email needed.,"£24,500",-,-,"£1,000.00",-,-,Cold,-,"Lockskinners House
Lockskinners
Chiddingstone
EDENBRIDGE
Kent
TN8 7NA
Phone:	07767 708614",johncoldman@benfieldpartners.com,No indication but contact details are avaliable.,TBC,TBC,TBC,TBC,TBC,,,,,,,
1146260,John Raymond Tijou Charitable Trust ,UK,General - Health,THE JOHN RAYMOND TIJOU CHARITABLE TRUST - 1146260,Awaiting outcome,"£28,000",-,"£4,000","£4,000.00",-,-,Cold,-,"Ludlow Trust Company Limited
First Floor
Tower Wharf
Cheese Lane
Bristol
BS2 0JJ
Phone:	01173138200",charitabletrusts@ludlowtrust.com,-,Online,Online via the Ludlow Portal,Ongoing,-,-,,,,,,,
210680,JSF Pollitzer Charitable Settlement ,UK,"Health , Social & Community welfare ",J S F POLLITZER CHARITABLE SETTLEMENT - 210680,Awaiting outcome,"£23,503",-,"£2,350","£2,300.00",-,-,Cold,-,"Dixon Wilson
22 Chancery Lane
LONDON
WC2A 1LS
Phone:	02076808100",-,No indication but contact details are avaliable.,TBC,TBC,TBC,TBC,TBC,,,,,,,
1082136,Kathleen Beryl Sleigh Charitable Trust,UK,Elderly / Children / Disability,KATHLEEN BERYL SLEIGH CHARITABLE TRUST - 1082136,Exploratory call / email needed.,"£282,000",-,"£10,000 national - £5,000 local","£5,000.00",Johnathan Picken,Trustee,Cold,-,"WILLIAM STURGES SOLICITORS
14-16 CAXTON STREET
LONDON
SW1H 0QY
02078731000",jonathan.picken@williamsturges.co.uk,No indication but contact details are avaliable.,TBC,TBC,TBC,TBC,TBC,,,,,,,
1082673,KEL Trust,UK,General,THE KEL TRUST - 1082673,Awaiting outcome,-,-,-,-,-,-,Cold,-,"Couch Bright King & co
2 Tolherst Court
Turkey Mill Business Park
Ashford Road
Maidstone
Kent
Phone:	02073874264",accountants@cbk.co.uk,No indication but contact details are avaliable.,TBC,TBC,TBC,TBC,TBC,,,,,,,
294182,Kent Mark Benevolent Fund,Kent,General,https://kentmarkmastermasons.org.uk/charity-2/,Awaiting outcome,"£5,000",-,-,£500.00,-,-,Cold,-,"72 Carlton Avenue
BROADSTAIRS
Kent
CT10 1BB
Phone:	07881 931552",toprod1@sky.com,No indication but contact details are avaliable.,TBC,TBC,TBC,TBC,TBC,,,,,,,
328678,Laduma Dhamecha Charitable Trust,UK,Medicine / Community,THE LADUMA DHAMECHA CHARITABLE TRUST - 328678,Awaiting outcome,"£1,624,314",-,-,-,-,-,Cold,-,"2 HATHAWAY CLOSE
STANMORE
HA7 3NR
Phone:	02089038181",info@dhamecha.com,No indication but contact details are avaliable.,TBC,TBC,TBC,TBC,TBC,,,,,,,
281282,Late Miss Doris Evelyn Clarke's Charitable Trust,UK,General,THE LATE MISS DORIS EVELYN CLARKE'S CHARITABLE TRUST - 281282,Awaiting outcome,-,-,-,-,-,-,Cold,-,"Ludlow Trust Company Limited
First Floor
Tower Wharf
Cheese Lane
Bristol
BS2 0JJ
Phone:	01173138200",charitabletrusts@ludlowtrust.com,-,Online,Online via the Ludlow Portal,Ongoing,-,-,,,,,,,
1080198,Lennox Hannay Charitable Trust,UK,"Health, Ill-health and Disability",THE LENNOX HANNAY CHARITABLE TRUST - 1080198,Exploratory call / email needed.,"£736,390",-,"£4,750.00","£5,000.00",-,-,Cold,-,"14 BUCKINGHAM STREET
LONDON
WC2N 6DF
Phone:	02036966721",charities@rftrustee.com,No indication but contact details are avaliable.,TBC,TBC,TBC,TBC,Yes,,,,,,,
1078511,Lidbury Family Trust,UK,Health,THE LIDBURY FAMILY TRUST - 1078511,Awaiting outcome,-,-,-,-,-,-,Cold,-,"Ludlow Trust Company Limited
First Floor
Tower Wharf
Cheese Lane
Bristol
BS2 0JJ
Phone:	01173138200",charitabletrusts@ludlowtrust.com,-,Online,Online via the Ludlow Portal,Ongoing,-,-,,,,,,,
232174,Lilley Benevolent Trust ,UK,General,LILLEY BENEVOLENT TRUST - 232174,Awaiting outcome,"£21,000",-,"£1,000.00","£1,000.00",Abigal Page,Accountant,Cold,-,"Gibbons Mannington & Phipps Llp
82 High Street
TENTERDEN
TN30 6JG
Phone:	01580765171",abigail.page@gmpaccountants.co.uk,No indication but contact details are avaliable.,TBC,TBC,TBC,TBC,Yes,,,,,,,
1123441,Linda & George Bonnyman Charitable Trust ,UK,General,THE LINDA AND GORDON BONNYMAN CHARITABLE TRUST - 1123441,Awaiting outcome,-,-,-,-,-,-,Cold,-,"Ely Grange
Ely Grange Estate
Frant
TUNBRIDGE WELLS
TN3 9DY
Phone:	01732450744",da@csw-uk.com,No indication but contact details are avaliable.,TBC,TBC,TBC,TBC,Yes,,,,,,,
1152760,Lindley Foundation,UK,General,THE LINDLEY FOUNDATION - 1152760,Application needed,-,-,-,"£1,000.00",-,-,Cold,Last application Dec 24,"Ludlow Trust Company Limited
First Floor
Tower Wharf
Cheese Lane
Bristol
BS2 0JJ
Phone:	01173138200",charitabletrusts@ludlowtrust.com,-,Online,Online via the Ludlow Portal,Ongoing,-,-,,,,,,,
214301,Lloyd Johnstone Trust ,UK and overseas,The Sick,THE LLOYD JOHNSTONE TRUST - 214301,Awaiting outcome,-,-,-,-,-,-,Cold,-,"JACOB CAVENAGH & SKEET
5 ROBIN HOOD LANE
SUTTON
SM1 2SW
Phone:	020 8643 1166",jcs@jcssutton.co.uk,No indication but contact details are avaliable.,TBC,TBC,TBC,TBC,Yes,,,,,,,
251090,M and L Charitable Trust,UK,Health / Social Welfare,THE M AND L CHARITABLE TRUST - 251090,Awaiting outcome,"£54,160",-,-,-,-,-,Cold,-,"COHEN ARNOLD
NEW BURLINGTON HOUSE
1075 FINCHLEY ROAD
LONDON
NW11 0PU
Phone:	02087310777",mail@cohenarnold.com,No indication but contact details are avaliable.,TBC,TBC,TBC,TBC,Yes,,,,,,,
327751,Mackintosh Foundation,UK,Relief in illness / cancer,THE MACKINTOSH FOUNDATION - 327751,Exploratory call / email needed.,"£1,154,046",-,"£9,697","£4,000",-,-,Cold,-,"1 BEDFORD SQUARE
LONDON
WC1B 3RB
02076378866",info@camack.co.uk,No indication but contact details are avaliable.,TBC,TBC,TBC,TBC,TBC,,,,,,,
1184949,Mahan Charitable Trust ,UK,General,THE MAHAN CHARITABLE TRUST - 1184949,Awaiting outcome,"£30,421",-,-,-,Lucy Gibson,Trustee,Cold,-,"Sinclair Gibson
3 Lincoln's Inn Fields
LONDON
WC2A 3AA
Phone:	02072429700",LUCY.GIBSON@SINCLAIRGIBSON.COM,No indication but contact details are avaliable.,TBC,TBC,TBC,TBC,TBC,,,,,,,
1126249,Marsland McAdoo Charitable Settlement ,UK,General,MARSLAND MCADOO CHARITABLE SETTLEMENT - 1126249,Awaiting outcome,"£55,300",-,-,-,Charlotte Marie Keating,Trustee,Cold,-,"Prosperity Law LLP
Vantage Point
4 Hardman Street
Spinningfields
Manchester
M3 3HF
Phone:	0161 464 7595",charlottek@prosperitylaw.com,No indication but contact details are avaliable.,TBC,TBC,TBC,TBC,TBC,,,,,,,
297697,McCorquodale Charitable Trust,UK,General,THE MCCORQUODALE CHARITABLE TRUST - 297697,Application needed,"£295,600",-,-,"£1,000",-,-,Cold,Last application Dec 24,"Ludlow Trust Company Limited
First Floor
Tower Wharf
Cheese Lane
Bristol
BS2 0JJ
Phone:	01173138200",charitabletrusts@ludlowtrust.com,-,Online,Online via the Ludlow Portal,Ongoing,-,-,,,,,,,
1166932,Marian Elizabeth Trust,UK,Children's Hospices,THE MARIAN ELIZABETH TRUST - 1166932,Exploratory call / email needed.,"£1,200,000",-,-,"£100,000",-,-,Cold,-,"THE ENTERPRISE CENTRE
PRIORS HALL
CORBY
NN17 5EU
01536560394",info@themarianelizabethtrust.org,No indication but contact details are avaliable.,TBC,TBC,TBC,TBC,TBC,,,,,,,
1058771,Marjorie E Rouse Charitable Foundation,UK,General,MISS MARJORIE E.ROUSE CHARITABLE FOUNDATION - 1058771,Awaiting outcome,-,-,-,-,Bradley Waldren,Kleinwort Hambros,Cold,-,"SG Kleinwort Hambros Trust Co(UK) Ltd
One Bank Street
LONDON
E14 4SG
Phone:	02075973392",bradley.walden@kleinworthambros.com,No indication but contact details are avaliable.,TBC,TBC,TBC,TBC,TBC,,,,,,,
1113074,Mary Stephanie Warren-Coleman Trust,UK,General,THE MARY STEPHANIE WARREN-COLEMAN TRUST - 1113074,Awaiting outcome,-,-,-,-,-,-,Cold,-,"Ludlow Trust Company Limited
First Floor
Tower Wharf
Cheese Lane
Bristol
BS2 0JJ
Phone:	01173138200",charitabletrusts@ludlowtrust.com,-,Online,Online via the Ludlow Portal,Ongoing,-,-,,,,,,,
1139904,Master Charitable Trust,UK and Worldwide,Health / Community,THE MASTER CHARITABLE TRUST - 1139904,Exploratory call / email needed.,"£85,243,000",-,£1.3m,"£500,000",-,-,Cold,-,"37 FLEET STREET
LONDON
EC4P 4DQ
02073534522",-,No indication but contact details are avaliable.,TBC,TBC,TBC,TBC,TBC,,,,,,,
212206,Mary Kinross Charitable Trust,UK,Health and Welfare,THE MARY KINROSS CHARITABLE TRUST - 212206,Apply,"£928,870",-,"£29,027","£30,000",-,-,Cold,-,"36 GROVE AVENUE
MOSELEY
BIRMINGHAM
B13 9RY",marykinrossct@gmail.com,No indication but contact details are avaliable.,Email,-,-,-,-,,,,,,,
1181854,Mcgilvray Charitable Foundation,UK,General,THE MCGILVRAY CHARITABLE FOUNDATION - 1181854,Apply,"£28,495",-,"£7,123","£7,000",-,-,Cold,-,"Ludlow Trust Co Ltd
Tower Wharf
Cheese Lane
BRISTOL
BS2 0JJ
Phone:	01173138200",charitabletrusts@ludlowtrust.com,-,Online,Applications must be made via the ludlow portal,Ongoing,-,-,,,,,,,
1107412,Michael and Betty Little Trust,UK and Overseas,Sickness / Distress,THE MICHAEL AND BETTY LITTLE TRUST - 1107412,Apply,"£859,820",-,"£33,070","£30,000",-,-,Cold,Unsuccessful application for £35k in early 24.,"12 Stanton Drive
CHICHESTER
West Sussex
PO19 5QN",-,Only postal address avaliable,Postal,-,-,-,-,,,,,,,
297627,Michael Bishop Foundation,UK,Health,https://michaelbishopfoundation.org/apply/,Apply,"£2,579,474",-,"£50,000","£50,000 (Multi-year)",Jo Furlong,Trustee,Cold,-,"STAUNTON HOUSE
ASHBY-DE-LA-ZOUCHE
LEICESTERSHIRE
LE65 1RW
01530564388",jo.furlong@btconnect.com,No indication but contact details are avaliable.,Online,Applications must be made online.,March (for Apr consideration) and September (for October).,-,Yes (3 - 5 years),,,,,,,
1163309,Michael Watson Charitable Trust,UK,Health,MICHAEL WATSON CHARITABLE TRUST - 1163309,Awaiting outcome,"£70,453",-,-,-,-,-,Cold,-,"Apartment 19
29 Essex Street
London
WC2R 3AT
Phone:	07977 077947",-,No indication but contact details are avaliable.,TBC,TBC,TBC,TBC,TBC,,,,,,,
1059355,Mildred Duveen Charitable Trust,UK,General,THE MILDRED DUVEEN CHARITABLE TRUST - 1059355,Awaiting outcome,-,-,-,-,-,-,Cold,-,"Moore Kingston Smith LLP
9 Appold Street
LONDON
EC2A 2AP
Phone:	02045821000",pholgate@btinternet.com,No indication but contact details are avaliable.,TBC,TBC,TBC,TBC,TBC,,,,,,,
1179664,Millie's Watch,UK,General,MILLIE'S WATCH - 1179664,Apply,"£115,000",-,"£10,454","£10,000.00",-,-,Cold,Last application the beginning of 2025.,"Ludlow Trust Company Limited
First Floor
Tower Wharf
Cheese La
TOWER WHARF
CHEESE L
Phone:	01173138200",charitabletrusts@ludlowtrust.com,-,Online,Applications via the online Ludlow portal,Ongoing,-,-,,,,,,,
327873,Milton-Lloyd Charitable Trust,UK,General,THE MILTON-LLOYD CHARITABLE TRUST - 327873,Awaiting outcome,"£43,022",-,-,"£1,000.00",Howard Walters,Trustee,Cold,-,"42-44 NORWOOD HIGH STREET
LONDON
SE27 9NR
Phone:	02086704433",howard.w@milton-lloyd.co.uk,No indication but contact details are avaliable.,TBC,TBC,TBC,TBC,TBC,,,,,,,
1099976,Miss J K Stirrup Charity Trust,UK,General,THE MISS J K STIRRUP CHARITY TRUST - 1099976,Awaiting outcome,"£146,738",-,"£48,000",-,-,-,Cold,-,"Ludlow Trust Company Limited
First Floor
Tower Wharf
Cheese La
TOWER WHARF
CHEESE L
Phone:	01173138200",charitabletrusts@ludlowtrust.com,-,Online,Applications via the online Ludlow portal,Ongoing,-,-,,,,,,,
1188787,Mostafavi Foundation,UK,General,MOSTAFAVI FOUNDATION - 1188787,Awaiting outcome,"£150,000",-,-,-,-,-,Cold,-,"3 CASTLEACRE
15 HYDE PARK CRESCENT
LONDON
W2 2PT
Phone:	02077248840",mostafavifoundation@gmail.com,No indication but contact details are avaliable.,TBC,TBC,TBC,TBC,TBC,,,,,,,
265957,Mrs S H Troughton Charity Trust,UK,Health / Community,MRS S H TROUGHTON CHARITY TRUST - 265957,Awaiting outcome,"£10,650",-,"£1,521","£1,500.00",-,-,Cold,-,"4th Floor
7 Swallow Street
LONDON
W1B 4DE
Phone:	02079072100",charity@mfs.co.uk,No indication but contact details are avaliable.,TBC,TBC,TBC,TBC,TBC,,,,,,,
1181826,Mulchand Foundation,UK,General,THE MULCHAND FOUNDATION - 1181826,Awaiting outcome,-,-,-,-,Sanjay Rajan Mulchand,Trustee,Cold,-,"LALTEX GROUP
LEIGH COMMERCE PARK
GREEN FOLD WAY
LEIGH
WN7 3XH
Phone:	01942687000",sanjay@laltex.com,No indication but contact details are avaliable.,TBC,TBC,TBC,TBC,TBC,,,,,,,
1178593,Nagle Family Foundation,"UK, Ireland and South Africa",Physical and mental health,THE NAGLE FAMILY FOUNDATION - 1178593,Awaiting outcome,"£218,050",-,-,"£2,000.00",-,-,Cold,-,"Third Floor
Sterling House
20 Station Road
Gerrards Cross
Buckinghamshire
Phone:	01628552000",info@naglefamilyfoundation.com,No indication but contact details are avaliable.,TBC,TBC,TBC,TBC,TBC,,,,,,,
285197,Northwick Trust,UK & Overseas,Life enhancing opportunities,THE NORTHWICK TRUST - 285197,Exploratory call / email needed.,"£431,000",£1k - £50k,"£9,170","£10,000.00",Peter McCarthy,Trustee,Cold,-,"13 Queensway
Wellingborough
NN8 3RA
01933222986",petermc1711@btinternet.com,No indication but contact details are avaliable.,TBC,TBC,TBC,TBC,TBC,,,,,,,
286525,Ofenheim Charitable Trust,"UK and Overseas, although state a preference for East Sussex",Hospices - Children and elderly welfare.,THE OFENHEIM CHARITABLE TRUST - 286525,Exploratory call / email needed.,"£537,000",-,"£7,458","£7,000.00",-,-,Cold,-,"R S M
4th Floor
100 Avebury Boulevard
MILTON KEYNES
MK9 1FH
01908687800",-,No indication but contact details are avaliable.,TBC,TBC,TBC,TBC,TBC,,,,,,,
1109210,Orchid Charitable Trust ,UK and Overseas,Relief of sickness,THE ORCHID CHARITABLE TRUST - 1109210,Exploratory call / email needed.,"£25,789",-,-,£500.00,-,-,Cold,-,"The Old Vicarage
114 High Street
Wargrave
READING
RG10 8DH
Phone:	01189401507",-,No indication but contact details are avaliable.,TBC,TBC,TBC,TBC,TBC,,,,,,,
1038737,Ove Arup Partnership Charitable Trust,UK,General,OVE ARUP PARTNERSHIP CHARITABLE TRUST - 1038737,Exploratory call / email needed.,-,-,-,-,-,-,Cold,-,"ARUP
8 FITZROY STREET
LONDON
W1T 4BJ
020 7636 1531",CoSecTeam@arup.com,No indication but contact details are avaliable.,TBC,TBC,TBC,TBC,TBC,,,,,,,
220124,P F Charitable Trust,UK,Health,P F CHARITABLE TRUST - 220124,Awaiting outcome,"£2,297,600",-,"£6,540","£5,000.00",-,-,Cold,-,"14 BUCKINGHAM STREET
LONDON
WC2N 6DF
Phone:	02036966721",charities@rftrustee.com,No indication but contact details are avaliable.,TBC,TBC,TBC,TBC,TBC,,,,,,,
1118301,Pack Foundation ,"local, national and international",General,THE PACK FOUNDATION - 1118301,Awaiting outcome,"£1,001,979",-,-,"£1,000.00",-,-,Cold,-,"Reeves & Co
37 St. Margarets Street
CANTERBURY
CT1 2TU
Phone:	03301241399",-,No indication but contact details are avaliable.,TBC,TBC,TBC,TBC,TBC,,,,,,,
1174839,Pantheon Charitable Trust,UK,General,THE PANTHEON CHARITABLE TRUST - 1174839,Apply,"£263,705",-,"£8,970","£8,500.00",-,-,Cold,-,"Ludlow Trust Company Limited
First Floor
Tower Wharf
Cheese La
TOWER WHARF
CHEESE L
Phone:	01173138200",charitabletrusts@ludlowtrust.com,-,Online,Applications via the online Ludlow portal,Ongoing,-,-,,,,,,,
294558,Patricia Beecham Charitable Settlement ,UK,General,THE PATRICIA BEECHAM CHARITABLE SETTLEMENT - 294558,Awaiting outcome,"£18,938",-,-,-,-,-,Cold,-,"6 CHESTER GATE
LONDON
NW1 4JH
Phone:	02074869918",-,No indication but contact details are avaliable.,TBC,TBC,TBC,TBC,TBC,,,,,,,
1077862,Patricia Routledge Foundation ,UK,General,The Patricia Routledge Foundation - 1077862,Awaiting outcome,"£468,084",-,"£3,319","£3,000.00",-,-,Cold,-,"Ludlow Trust Company Limited
First Floor
Tower Wharf
Cheese La
TOWER WHARF
CHEESE L
Phone:	01173138200",charitabletrusts@ludlowtrust.com,-,Online,Applications via the online Ludlow portal,Ongoing,-,-,,,,,,,
266255,PDC Trust,UK and overseas,Health,THE PDC TRUST - 266255,Exploratory call / email needed.,"£26,351",-,"£1,318","£1,000.00",-,-,Cold,-,"BOYCES BUILDING
REGENT STREET
CLIFTON
BRISTOL
BS8 4HU
Phone:	01179745221",-,No indication but contact details are avaliable.,TBC,TBC,TBC,TBC,TBC,,,,,,,
1163608,Persimmon Charitable Foundation - Community Champions,UK,Local Communities,Community Champions | Persimmon Homes | Persimmon Homes,Apply,-,"up to £6,000","£3,000","£3,000",-,-,Cold,-,"PERSIMMON PLC
PERSIMMON HOUSE
FULFORD
YORK
YO19 4FE
01904642199",-,-,Online,Applications can be made online at any time but grants are given every quarter.,Ongoing,See website,No,,,,,,,
1163608,Persimmon Charitable Foundation - Open Programme,UK,Health Conditions / Youth,Open Application Programme |,Apply,"£200,000",-,-,"£50,000.00",-,-,Cold,-,"PERSIMMON PLC
PERSIMMON HOUSE
FULFORD
YORK
YO19 4FE
01904642199",-,-,Online,"Applications must be made online. 4 x £50,000 grants avaliable.",March for May and June for Sept.,See website,No,,,,,,,
1194819,Persula Foundation,UK,Positive Social Change,PERSULA FOUNDATION - 1194819,Exploratory call / email needed.,"£1,477,535",-,"£10,000","£10,000.00",-,-,Cold,-,"The Persula Foundation
Unit 3-4
Richer House
Hankey Place
LONDON
SE1 4BB
0161 474 6811",info@persula.org,No indication but contact details are avaliable.,TBC,TBC,TBC,TBC,TBC,,,,,,,
1139109,PIMCO Foundation Europe,UK and Europe,Health / Children,PIMCO FOUNDATION EUROPE - 1139109,Exploratory call / email needed.,"£1,410,270",-,"£13,058","£10,000.00",-,-,Cold,-,"11 BAKER STREET
LONDON
W1U 3AH
02078721300",EMEACORPORATESECRETARY@PIMCO.COM,No indication but contact details are avaliable.,TBC,TBC,TBC,TBC,TBC,,,,,,,
1187700,Prudence Trust,UK,Young People's mental Health,https://theprudencetrust.org/,Exploratory call / email needed.,-,£30k - £300k,-,"£50,000 a year for 3 years.",-,-,Cold,-,"The Prudence Trust
Royalty House
32 Sackville Street
LONDON
W1S 3EA
02075662183",info@theprudencetrust.org,No indication but contact details are avaliable.,TBC,TBC,TBC,TBC,TBC,,,,,,,
1144124,PwC Foundation,UK,Healthcare and wellbeing,THE PWC FOUNDATION - 1144124,Exploratory call / email needed.,"£2,324,296",-,"£3,919.00","£4,000",Sean Good,PWC,Cold,-,"PRICEWATERHOUSECOOPERS
1 EMBANKMENT PLACE
LONDON
WC2N 6RH
07764902846",sean.good@pwc.com,No indication but contact details are avaliable.,TBC,TBC,TBC,TBC,TBC,,,,,,,
1152279,R & S Morley  Trust,UK and Overseas,General,THE R & S MORLEY TRUST - 1152279,Exploratory call / email needed.,"£56,500",-,"£4,346.00","£2,000",-,-,Cold,-,"52 PARLIAMENT HILL
LONDON
NW3 2TL
Phone:	07736854803",-,No indication but contact details are avaliable.,TBC,TBC,TBC,TBC,TBC,,,,,,,
1008914,R G Hills Charitable Trust ,UK and Overseas,Health,R G HILLS CHARITABLE TRUST - 1008914,Exploratory call / email needed.,"£124,110",-,"£2,177.00","£2,000",-,-,Lapsed,"Last gift £1,000 towards CA in 2021.","Furley Page
39-40 St. Margarets Street
Canterbury
CT1 2TX
Phone:	01227763939",-,No indication but contact details are avaliable.,TBC,TBC,TBC,TBC,TBC,,,,,,,
